Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2023,ME.0022,SC,c9.1p,-70.18737801385177,43.6375004662523,1,0
2023,ME.0023,Co,cb.1o,-69.89935976616431,43.7214442667135,59,0
2023,ME.0025,Co,cb.1n,-69.89143164795337,43.75107510860445,39,30
2023,ME.0026,Co,ca.1n,-70.05592614505098,43.766825972493734,0,0
2023,ME.0032,Co,ch.1g,-68.96404003376799,44.25900466816862,10,0
2023,ME.0034,Co,cl.1d,-68.40088972639566,44.381876800225726,0,0
2023,ME.0043,Co,cp.1b,-67.82870484798815,44.48391293883457,40,0
2023,ME.0044,Co,cf.1k,-69.35471848287008,43.96491328931822,0,0
2023,ME.0045,Co,ce.1m,-69.57354439846151,43.78782227623337,22,0
2023,ME.0100,SC,c6.1w,-70.7949625607964,43.13933812346684,8,0
2023,ME.0101,SC,c6.1v,-70.77946971781304,43.18680003718479,19,8
2023,ME.0102,SC,c6.1u,-70.70852746055004,43.27663661025565,4,0
2023,ME.0103,SC,c6.1s,-70.66813433422507,43.451084596230004,3,0
2023,ME.0105,SC,c4.1r,-70.82678590788888,43.61651127761538,0,0
2023,ME.0106,SC,cd.1i,-69.52342348762525,44.14456733115644,17,0
2023,ME.0108,SC,c9.1j,-70.05297425841911,44.224805222146955,0,0
2023,ME.0109,ND,c2.1k,-70.97362176230511,44.23551010911958,12,0
2023,ME.0112,SC,c8.1i,-70.09939477651663,44.30724988698365,0,0
2023,ME.0113,SC,c8.1i,-70.08758360133415,44.31332293551955,0,0
2023,ME.0115,SC,cd.1e,-69.37233854029935,44.55349755196812,14,0
2023,ME.0116,SC,ce.1d,-69.1551196560951,44.57426401873029,0,0
2023,ME.0119,SC,c9.1e,-69.90163609497958,44.60816677872354,9,0
2023,ME.0122,SC,cc.1c,-69.36256313739261,44.72880753176911,0,0
2023,ME.0123,ND,cn.18,-67.98074922459907,44.77756046856827,27,0
2023,ME.0126,SC,cc.1a,-69.36551297530814,44.85879383123351,0,0
2023,ME.0128,SC,c9.1b,-69.77890292577031,44.86018487264612,3,0
2023,ME.0131,ND,bz.1b,-70.98856663307043,45.08161433616283,47,45
2023,ME.0133,ND,c9.19,-69.70243525253214,45.08863140440292,0,0
2023,ME.0134,SC,cg.16,-68.70984212820345,45.13771907970756,0,0
2023,ME.0135,SC,cg.16,-68.71204160519171,45.15563463979312,0,0
2023,ME.0136,SC,cg.15,-68.68749035808608,45.17603988608976,0,0
2023,ME.0146,ND,c9.13,-69.53071113677433,45.55549654085201,10,0
2023,ME.0166,SC,cc.1a,-69.40974748672528,44.88727965944295,8,0
2023,ME.0175,SC,cc.1b,-69.36765386826613,44.742918813282806,10,0
2023,ME.0178,SC,c8.1h,-70.09148975638317,44.32855469489639,0,0
2023,ME.0179,Co,ck.1d,-68.50406641704512,44.458155702736605,15,1
2023,ME.0184,ND,c1.1c,-70.72994851480411,44.93017069071751,20,0
2023,ME.0185,SC,c4.1p,-70.88812494707064,43.77020529751704,2,0
2023,ME.0505,SC,ce.1b,-69.0874868446897,44.761798214432645,6,0
2023,ME.0506,SC,ce.19,-69.05857822696218,44.886078850882114,4,0
2023,ME.0510,ND,ch.0p,-67.98936012527747,46.541366098071,17,0
2023,ME.0601,SC,c6.1m,-70.51249211168923,43.975051837226744,10,0
2023,ME.0602,SC,c8.1i,-70.0527680634865,44.306599812523565,37,0
2023,ME.0604,ND,c6.1j,-70.45531313298206,44.22038491586899,11,0
